name,address,cuisine,price,rating,review_count
Sorella,3369 Cambie St,Italian,,4.6,199
BierCraft Bistro,3305 Cambie St,Restaurant,$$,4.2,810
Kim Express,952 W King Edward Ave,Takeout Restaurant,$,4.4,158
Indian Junction Bar & Grill,3364 Cambie St,Indian,,4.6,201
Corduroy Pie Company,758 W 16th Ave,Pizza,$$,4.7,455
Las Tortas Mexican Gourmet Sandwiches,3353 Cambie St,Restaurant,,4.5,352
Osaka Sushi,960 W King Edward Ave,Japanese,$,3.9,239
Tokyo John Sushi,3365 Cambie St,Sushi,$$,4.2,220
Viet House,3420 Cambie St,Vietnamese,$,4.3,325
Café Gloucester,3338 Cambie St,Chinese,$$,3.9,728
Sushi TonTon,4018 Cambie St,Sushi,$$,4.2,263
Johnny’s on Oak Restaurant Vancouver,3838 Oak St,Restaurant,$$,4.2,211
Seasons in the Park,W 33rd Ave,Restaurant,$$$,4.3,1624
Sabra Kosher Bakery & Restaurant Ltd,3844 Oak St,Kosher,$$,4.5,108
Corner 23,4008 Cambie St,Taiwanese,$,3.9,552
Flying Wedge Pizza Co,3357 Cambie St,Pizza,,4.0,71
Landmark Hotpot House,4023 Cambie St,Hot Pot,$$$,4.1,444
City 1 Cafe,954 W King Edward Ave,Singaporean,,3.7,167
Shiro Japanese,3096 Cambie St,Japanese,$$,4.5,582
Dutch Wooden Shoe Cafe,3292 Cambie St,Dutch,$$,4.5,491
Las Tortas Mexican Gourmet Sandwiches,3353 Cambie St,Restaurant,,4.5,352
Hachibei,778 W 16th Ave,Japanese,$$,4.3,196
Vij's Restaurant,3106 Cambie St,Indian,$$,4.2,587
Sushi 7,3488 Cambie St,Japanese,$,4.1,225
Mandarin Hong Kong Cafe 文華餐廳,904 W King Edward Ave,Hong Kong style fast food restaurant,$$,3.7,271
Nabebugyo Hot Pot Cuisine,3190 Cambie St,Restaurant,,4.5,451
Thai Away Home,3315 Cambie St,Thai,,3.7,163
Vij's,3106 Cambie St,Restaurant,$$$,4.4,1309
the Kino,3456 Cambie St,Restaurant,$$,4.3,341
Pho Xe Lua 24,3346 Cambie St,Pho,$,4.2,231
Rayhan,3170 Oak St,Mediterranean,$,4.3,187
Potluck Hawker Eatery,3424 Cambie St,Restaurant,,4.2,168
Zaccary's Pizza,3150 Oak St,Pizza,,4.4,92
The Firewood Café,3004 Cambie St,Pizza,$$,4.5,196
Cambie Vietnamese Restaurant,4136 Main St,Vietnamese,$,4.5,380
Extreme Pita,Women's & Children Hospital 4500 Oak St,Restaurant,,3.7,3
Published on Main,3593 Main St,Restaurant,,4.6,156
GRUB,4328 Main St,Restaurant,$$,4.5,227
Indian Roti Kitchen,2961 Cambie St,Indian,$,4.6,444
Soupspoons,3381 Cambie St #414,Restaurant,,5.0,1
White Spot Oakridge,613 650 W 41st Ave A,Family-friendly,$$,3.9,818
Breakfast Table,3014 Granville St,Breakfast,$$,4.6,736
Marulilu Café,451 W Broadway,Japanese,$,4.5,595
Trilussa Pizza & Pane,4363 Main St,Pizza,$$,4.4,280
Shaughnessy Restaurant,5251 Oak St,Restaurant,$$,3.9,399
La Taqueria Pinche Taco Shop,2450 Yukon St,Restaurant,$,4.4,1556
Locus Restaurant & Lounge,4121 Main St,Restaurant,$$,4.4,475
Peaceful Restaurant,532 W Broadway #110,Chinese,,4.1,607
The Fish Counter,3825 Main St,Seafood,$$,4.6,827
New Sun Restaurant,2925 Cambie St,Restaurant,$,3.9,41
Whitewood Coffee,3208 Oak St,Coffee store,,4.8,26
Burgoo,3096 Main St,Bistro,$$,4.4,1241
Bin 4 Burger Lounge,2996 Granville St,Hamburger,$$,4.5,1351
Chickpea Restaurant,4298 Main St,Vegan,$$,4.4,1705
Tropika,2975 Cambie St,Malaysian,$$,3.7,459
Rocky Mountain Flatbread Main Street,4186 Main St,Pizza,$$,4.5,838
The Rise Eatery,3121 Granville St,Restaurant,$$,4.3,314
Toshi Sushi,181 E 16th Ave,Sushi,$$,4.6,771
Sushi Mania,3851 Main St,Sushi,$,4.4,388
Seiza Japanese Cuisine,3068 Main St,Sushi,,4.4,277
Subway,3890 Oak St,Sandwich,$,3.6,91
De Dutch Pannekoek House,3192 Oak St,Breakfast,$$,4.1,291
Fable Diner,151 Broadway East,Restaurant,$$,4.3,1503
