name,address,cuisine,price,rating,review_count
The Acorn Restaurant,3995 Main St,Vegetarian,$$$,4.5,1161
GRUB,4328 Main St,Restaurant,$$,4.5,227
The Fish Counter,3825 Main St,Seafood,$$,4.6,827
MeeT on Main,4288 Main St,Vegetarian,$$,4.5,2196
Seasons in the Park,W 33rd Ave,Restaurant,$$$,4.3,1624
Trilussa Pizza & Pane,4363 Main St,Pizza,$$,4.4,280
Published on Main,3593 Main St,Restaurant,,4.6,156
Locus Restaurant & Lounge,4121 Main St,Restaurant,$$,4.4,475
East is East,4433 Main St,Organic,$$,4.4,1334
Hawkers Delight Deli,4127 Main St,Malaysian,$,4.4,715
Rocky Mountain Flatbread Main Street,4186 Main St,Pizza,$$,4.5,838
Chickpea Restaurant,4298 Main St,Vegan,$$,4.4,1705
Sawasdee Thai Restaurant,4250 Main St,Thai,$$,4.4,735
Indian Junction Bar & Grill,3364 Cambie St,Indian,,4.6,201
Cambie Vietnamese Restaurant,4136 Main St,Vietnamese,$,4.5,380
Pizza Carano,4241 Fraser St,Pizza,$$,4.6,292
The Shameful Tiki Room,4362 Main St,Polynesian restaurant,$$,4.5,1225
Chef Claire's,3610 Main St,Restaurant,,4.8,19
El Camino's,3250 Main St,Latin American,$$,4.3,869
Old Bird,3950 Main St,Chinese,,4.2,87
Las Tortas Mexican Gourmet Sandwiches,3353 Cambie St,Restaurant,,4.5,352
alphabet city,4242 Main St,Restaurant,,4.5,76
Bon Cafe,4909 Main St,Pho,$,4.4,232
the Kino,3456 Cambie St,Restaurant,$$,4.3,341
Pho Tan Restaurant,4598 Main St,Asian,$,4.2,512
Helen's Grill,4102 Main St,Diner,$,4.2,428
Anh and Chi,3388 Main St,Vietnamese,$$,4.3,1967
Autostrada Osteria Main Street,4811 Main St,Italian,$$,4.4,244
Chaise,4444 Main St,Restaurant,$$,4.1,414
Viet House,3420 Cambie St,Vietnamese,$,4.3,325
Toshi Sushi,181 E 16th Ave,Sushi,$$,4.6,771
The Main,4210 Main St,Restaurant,$$,3.9,446
Bob Likes Thai Food.,3755 Main Street @ E 21st Ave,Thai,$$,4.3,523
Sushi Mania,3851 Main St,Sushi,$,4.4,388
O! Taho,4223 Fraser St,Filipino,$,4.5,108
Dutch Wooden Shoe Cafe,3292 Cambie St,Dutch,$$,4.5,491
French Table,3916 Main St,Restaurant,$$$,3.9,200
Long's Noodle House,4853 Main St,Shanghainese,$,4.2,593
The Arbor Restaurant,3941 Main St,Vegetarian,$$,4.3,603
Van. Tea Cafe,5688 Main St,Hong Kong style fast food restaurant,$$,4.0,335
Portland Craft,3835 Main St,Restaurant,$$,4.1,903
Grand View Szechuan Restaurant,4181 Fraser St,Sichuan,$$,4.3,90
Simply Delicious Restaurant & Bar,4316 Main St,Asian Fusion,$,4.1,241
Sushi TonTon,4018 Cambie St,Sushi,$$,4.2,263
Zakkushi Dining on Main,4075 Main St,Izakaya,$$,4.2,630
Restaurant Yugo,4265 Main St,Japanese,$$,4.4,354
Kind Cafe,3080 Main St,Vegan,$$,4.7,184
Sorella,3369 Cambie St,Italian,,4.6,199
Sun Sui Wah,3888 Main St,Chinese,$$,4.1,1610
Nam Nam Noodle,4191 Main St,Chinese Noodles,$,4.3,195
Saigon Taste Vietnamese Restaurant,4197 Fraser St,Vietnamese,,4.6,25
Slickity Jim's Chat 'n' Chew,3475 Main St,Breakfast,$$,4.3,578
Browns Crafthouse Main Street,E 16th Ave #202,Restaurant,$$,4.3,132
Pampanga's Best Cafeteria,4279 Fraser St,Filipino,,4.4,23
Haiyi Seafood Restaurant,4818 Main St,Takeout Restaurant,$$,4.0,386
Sushi Main,3710 Main St,Sushi,,4.1,130
Café Gloucester,3338 Cambie St,Chinese,$$,3.9,728
Corner 23,4008 Cambie St,Taiwanese,$,3.9,552
Golden Joy Restaurant,4288 Fraser St,Filipino,,4.7,30
SUSHI HUB,4855 Main St,Sushi,$$,4.3,239
forfrands,3673 Main St,Restaurant,,,
Nammos Estiatorio,3980 Fraser St,Greek,$$,4.3,502
Zocalo Modern Cantina,646 Kingsway,Pan-Latin restaurant,,4.7,111
BierCraft Bistro,3305 Cambie St,Restaurant,$$,4.2,810
Shiro Japanese,3096 Cambie St,Japanese,$$,4.5,582
Ogenki sushi,4346 Main St,Japanese,,4.4,26
Sushi 7,3488 Cambie St,Japanese,$,4.1,225
The General Public Sushi Lodge,3289 Main St,Sushi,$$,4.3,987
Aling Ening Restaurant,4253 Fraser St,Filipino,$,4.5,70
Hala restaurant,4129 Main St,Restaurant,,,
Les Faux Bourgeois,663 E 15th Ave,French,$$$,4.6,937
Egg & Co.,4245 Fraser St,Brunch,$$,4.0,226
Nikkyu Japanese Restaurant,3302 Main St,Sushi,$,3.9,318
Church's Chicken,3425 Main St,Fast Food,$,4.0,992
Potluck Hawker Eatery,3424 Cambie St,Restaurant,,4.2,168
Los Cuervos Taqueria & Cantina,603 Kingsway,Mexican,$$,4.4,600
Sula Indian Restaurant - Main Street,4172 Main St,Indian,,4.4,23
Simple Bites Inc.,5932 Fraser St,Restaurant,,4.8,129
Tikim Asian Fusion Restaurant,5772 Fraser St,Restaurant,,4.5,24
Masayoshi,4376 Fraser St,Sushi,,4.3,257
Pho Xe Lua 24,3346 Cambie St,Pho,$,4.2,231
CHI HOUSE,4063 Main St,Sichuan,,4.1,113
The Lion's Den Cafe,651 E 15th Ave,Caribbean,$,4.6,192
Burgoo,3096 Main St,Bistro,$$,4.4,1241
Trafiq,4216 Main St,Bakery,$$,4.5,801
Boiling Point,4148 Main St,Hot Pot,$$,4.1,538
Osteria Savio Volpe,615 Kingsway,Italian,$$$,4.6,1565
Dream Sushi,4401 Main St,Sushi,$$,3.8,307
Corduroy Pie Company,758 W 16th Ave,Pizza,$$,4.7,455
Hyde Restaurant & Lounge,2960 Main St,Grill,$,4.2,173
Vera's Burger Shack,2922 Main St,Hamburger,$$,4.3,387
OKA-SAN KITCHEN,3578 Fraser St,Japanese,$$,4.0,237
Vij's Restaurant,3106 Cambie St,Indian,$$,4.2,587
The Firewood Café,3004 Cambie St,Pizza,$$,4.5,196
Solly's Up Main,4071 Main St,Bagel shop,$,3.9,247
Kaori Izakaya,3043 Main St,Japanese,$,4.2,167
Slice Of Chicago Deep Dish Pizza,5812 Fraser St,Pizza,,3.9,213
Pho Goodness (Main Street,3079 Main St,Vietnamese,$,4.2,747
The Peri Peri Shack,724 Kingsway,Restaurant,,4.8,37
Tokyo John Sushi,3365 Cambie St,Sushi,$$,4.2,220
Landmark Hotpot House,4023 Cambie St,Hot Pot,$$$,4.1,444
Sprezzatura Restaurant,265 Kingsway,Italian,$$,4.4,214
Mitra Canteen,3034 Main St,Middle Eastern,$,4.0,127
Pho Long Restaurant,3370 Fraser St,Pho,$,3.9,302
Kwong Chow Congee & Noodle House,3163 Main St,Cantonese,$,3.9,536
Penang Bistro Fine Malaysian Cuisine,3932 Fraser St,Malaysian,$$$,3.9,249
Frying Pan Kitchen & Bar Gastown,60 W Cordova St,Canadian,,5.0,19
Fable Diner,151 Broadway East,Restaurant,$$,4.3,1503
Church's Chicken,5704 Fraser Street E 41st Ave,Fast Food,$,3.9,1509
Johnny’s on Oak Restaurant Vancouver,3838 Oak St,Restaurant,$$,4.2,211
Bulalohan Sa Ilocos Fast Food Cafe Inc,4273 Fraser Street,Filipino,,4.0,9
Good Choice Restaurant,6007 Fraser St,Chinese,$$,3.9,181
Nooru Mahal,4354 Fraser St,Indian,,4.0,113
Soho Tea Room,3466 Cambie St,Chinese,$$,3.6,473
Ogenki Sushi Fusion,4342 Main St,Japanese,,3.9,260
BT Cafe Ltd,920 Kingsway,Cantonese,$,4.1,276
Copa Cafe,4032 Cambie St,Chinese,$$,3.4,593
Carp Sushi + Bowl,2516 Prince Edward St,Sushi,$,4.6,417
Jitlada Thai Restaurant,118 W 6th Ave,Thai,$$,4.1,140
New Sun Restaurant,2925 Cambie St,Restaurant,$,3.9,41
McDonald's,4445 Main St,Fast Food,$,3.5,567
Osaka Sushi,960 W King Edward Ave,Japanese,$,3.9,239
Ignite Pizzeria,2588 Main St,Pizza,,4.4,580
Cioppino's Mediterranean Grill,1133 Hamilton St,Mediterranean,$$$$,4.6,407
Marutama Gaiden,2858 Main St,Ramen,$$,4.1,439
Thai Away Home,3315 Cambie St,Thai,,3.7,163
Little Caesars Pizza,5927 Fraser St,Pizza,$,3.9,132
Raga Restaurant,1177 W Broadway,Indian,$$,4.6,278
Freshii,6541 Main St,Health Food,,4.8,28
Como Taperia,201 E 7th Ave,Spanish,$$,4.4,415
Shizenya Restaurant on Broadway,1333 W Broadway #160,Japanese,$$,4.4,292
Freshslice Pizza,183 E Broadway,Pizza,$,4.0,247
Gyu-Kaku Japanese BBQ,950 W Broadway #201,Yakiniku,$$,4.5,1336
Ancora Waterfront Dining and Patio - False Creek,1600 Howe St #2,Seafood,$$$$,4.4,712
Sabra Kosher Bakery & Restaurant Ltd,3844 Oak St,Kosher,$$,4.5,108
Freshii,270 E Broadway,Restaurant,$$,4.3,34
Ho Yuen Kee Restaurant,6236 Fraser St,Chinese,$$,3.8,737
Dong Tai Xiang Shanghai Dim Sum,3250 Cambie St,Restaurant,,3.5,178
Broadway Station Sushi,1638 E Broadway #101,Japanese,$,4.1,395
Ro Sushi Japanese Bistro,678 W Broadway,Asian,$,3.9,232
Rocky Mountain Flatbread,1876 W 1st Ave,Pizza,$$,4.5,803
Sweet Revenge,4160 Main St,Dessert,$$,4.0,388
Thai Son Restaurant,373 E Broadway,Vietnamese,$,4.0,417
Freshslice Pizza,6374 Fraser St,Pizza,$,4.0,306
Sing Sing,2718 Main St,Beer hall,$$,4.2,614
Dynasty Seafood Restaurant,108-777 W Broadway,Chinese,$$$,4.2,1113
Giardino Restaurant,1328 Hornby St,Tuscan,$$$$,4.6,539
Fatburger West Broadway,255 W Broadway,Restaurant,$$,4.1,584
Kyuzo Japanese Restaurant,5701 Granville St #112,Japanese,$$,4.1,163
Tim Hortons,5866 Cambie St,Restaurant,,,
The Keg Steakhouse + Bar - Yaletown,1011 Mainland St,Restaurant,$$$,4.4,1684
Sushiyama,371 E Broadway,Sushi,$,4.0,748
Pokedoki - Poke,693 W Broadway,Hawaiian,,4.5,134
City 1 Cafe,954 W King Edward Ave,Singaporean,,3.7,167
Matchstick Riley Park,4807 Main St,Cafe,$$,4.2,542
Sushi Mura,6485 Oak St,Japanese,$,4.1,937
KymBuna Real Estate Group,3995 Fraser St,Real Estate Agency,,5.0,18
Freshslice Pizza,2582 Commercial Dr,Pizza,$,3.9,176
Peninsula (Oakridge) Seafood Restaurant,650 W 41st Ave,Seafood,,3.4,255
The Keg Steakhouse + Bar - Granville Island,1499 Anderson St,Restaurant,$$$,4.2,1403
The Pizza King,1464 E Broadway,Pizza,,4.1,97
Cafe Lu Quan,1279 Kingsway,Vietnamese,,,
Dai Tung Chinese Seafood Restaurant,1050 Kingsway,Chinese,$$,3.7,656
All India Sweets & Restaurant,6560 Main St,Indian,$$,3.7,536
New Novelty Sweet & Restaurant,6669 Fraser St,Indian,$,3.8,134
Royal Seoul House Restaurant,1215 W Broadway,Korean,$$,3.8,473
Subway,5698 Main St,Sandwich,$,3.5,69
IHOP,950 W Broadway Suite 200,Restaurant,$$,3.7,941
Le Marché St. George,4393 St George St,Cafe,$$,4.6,524
Park Drive,1815 Commercial Dr,Bar,$$,4.4,140
Freshslice Pizza,2418 Granville St,Pizza,$,4.2,195
New Bhaia Sweet Shop,5740 Fraser St,Indian,$,3.4,277
Boston Pizza,1333 Broadway W Suite 190,Pizza,$$,3.8,536
Hawksworth Restaurant,801 W Georgia St,Restaurant,$$$$,4.5,1000
El Caracol Cafe,5190 Victoria Dr,Salvadoran,$,4.4,398
Original New Town Bakery,3484 Cambie St,Bakery,$,3.9,36
Sun Garden Chinese Restaurant,3832 Oak St,Chinese,,3.5,94
Bao Bei,163 Keefer St,Chinese,$$$,4.5,764
Gotham Steakhouse & Cocktail Bar,615 Seymour St,Steak,$$$$,4.6,1495
Pizza Hut,3425 Main St,Pizza,$$,3.0,202
Maenam,1938 W 4th Ave,Thai,$$$,4.3,695
Jules Bistro,216 Abbott St,French,$$,4.3,475
Shamrock Bar & Grill,1184 Denman St #102,Irish,$,4.4,320
Himalaya Restaurant Ltd,6587 Main St,Indian,$,3.5,439
Japanese Bistro Kamome,5228 Joyce St,Japanese,$,4.6,150
Yum Sweet Shop,4150 Main St,Ice Cream,$$,4.6,301
Pho Extreme Xe Lua,457 W Broadway,Pho,$,3.6,495
Earnest Ice Cream,3992 Fraser St,Ice Cream,$$,4.6,1896
Super Hiro's Restaurant,2585 W Broadway,Japanese,,4.7,141
Continental Coffee,4295 Main St,Coffee shop,$,4.2,274
Lucky Dragon Palace Restaurant,5822 Victoria Dr,Chinese,$,3.6,146
Queen Elizabeth Park,4600 Cambie St,Park,,4.7,9827
Frying Pan,505 Burrard St,Chicken,$$,4.8,146
Matchstick Fraser Street,639 E 15th Ave,Cafe,$$,4.3,758
6 Degrees Eatery,1590 Coal Harbour Quay,Breakfast,$$,4.4,422
Mumbai Local Restaurant,1148 Davie St,Modern Indian restaurant,,4.2,537
Tim Hortons,4064 Fraser St,Restaurant,$,3.2,67
Coco et Olive,3707 Main St,Cafe,$$,4.2,234
Mali Thai Restaurant,2710 Main St,Thai,,3.2,196
Pelican Seafood Restaurant,1895 E Hastings St,Seafood,$$,3.9,402
Dharma Garden Veggie Deli,3195 Kingsway,Vegan,$,4.6,183
Glowbal,590 W Georgia St,Fusion restaurant,$$$,4.0,1618
New Town Bakery & Restaurant,148 E Pender St,Chinese bakery,$,4.2,1543
Panago Pizza,2928 Main St,Pizza Delivery,$$,3.2,49
Riley Park,50 E 30th Ave,Park,,4.5,263
Green Leaf Sushi,3416 W Broadway,Sushi,$$,4.4,1119
Triple O's Langara College,100 W 49th Ave,Fast Food,,3.2,22
Ole chicken,1256 Robson St,Korean,$$,4.1,432
Norland Grill,2701 Norland Ave,Restaurant,$,4.5,161
KFC,650 W 41st Ave,Fast Food,$,3.0,77
Riley Park Farmers Market - Winter,4601 Ontario St,Farmers' market,,4.7,141
COBS Bread Bakery,2924 Main St,Bakery,$$,4.6,162
JAPADOG,530 Robson St,Hot Dog,$,4.2,2600
KFC,795 E Broadway,Fast Food,$,3.4,433
