name,address,cuisine,price,rating,review_count
Bufala Kerrisdale,5395 West Blvd,Pizza,$$,4.4,466
Ridge Garden Restaurant,4009 Macdonald St,Chinese,$$,4.1,86
Minerva Restaurant,2411 W 41st Ave,Greek,$$,4.4,423
La Buca Restaurant,4025 Macdonald St,Italian,,4.6,125
Barra 41,2407 W 41st Ave,Cocktail bar,$$,4.5,157
BIGSBY THE BAKEHOUSE,4894 MacKenzie St,Restaurant,$$,4.5,102
Sushi Bar Ajisai,2081 W 42nd Ave,Sushi,$$,4.5,749
41 Noodle & Rice Pot House,2279 W 41st Ave,Chinese,$,4.0,123
One Bowl,5687 Balsam St,Restaurant,,4.6,71
Sofra Mediterranean Kitchen,2277 W 41st Ave,Lebanese,$,4.2,411
Moki's Pizza,4027 Macdonald St,Pizza Delivery,,4.6,63
Burrata Pizzeria,2104 W 41st Ave,Pizza,,4.5,114
White Spot Kerrisdale,5367 West Blvd,Family-friendly,$$,3.8,586
Nana's Green Tea,2135 W 41st Ave,Japanese sweets restaurant,$$,4.3,615
Subway,5623 West Blvd,Sandwich,$,4.0,84
Orange Corner,2257 W 41st Ave,Taiwanese,$,3.8,158
ASA Sushi,2178 W 41st Ave,Sushi,$$,4.0,594
Yuwa Japanese Cuisine,2775 W 16th Ave,Japanese,$$$,4.3,197
Sushi King House,5333 West Blvd,Sushi,$,3.9,111
Secret Garden Tea Company,2138 W 40th Ave,Restaurant,,4.2,420
Jiu Jiang Japanese Restaurant,5707 Balsam St,Japanese,$$,4.1,171
ZUBU Ramen - Kerrisdale,2129 W 41st Ave,Ramen,,3.8,54
Fiore Famiglia,2603 W 16th Ave,Italian,$$,4.2,148
Golden Ocean Seafood Restaurant,2046 W 41st Ave,Chinese,$$,4.0,566
Khao Thai by Legato Cafe,2248 W 41st Ave,Thai,,4.1,60
Subway,4665 Arbutus St,Sandwich,$,3.5,40
Pho Tan Vietnamese Restaurant Beef Noodle Soup & Bubble Tea,2076 W 41st Ave,Vietnamese,$,4.2,489
Shota Sushi & Grill,5688 Yew St,Sushi,$$,3.6,119
China Lan Lanzhou Beef Noodle,5555 West Blvd,Chinese Noodles,$$,4.0,333
Nando's Kerrisdale,2064 W 41st Ave,Chicken,$$,4.1,684
Gramercy Grill,Arbutus St,Canadian,$$,3.8,118
HaiDiLao Hotpot West Broadway,3204 W Broadway,Restaurant,,4.9,69
Sip Bowl,2255 W 41st Ave,Chinese Noodles,,3.9,174
Finest At Sea,4675 Arbutus St,Seafood,$$$,4.1,117
BBT Café,5979 West Blvd,Taiwanese,$$,3.8,228
Harvest Deli,2963 W Broadway,Sandwich,,4.7,175
Baoguette Vietnamese Bistro,2114 W 41st Ave,Vietnamese,$,3.9,368
Kerrisdale Nakamura Japanese Cuisine,2055 W 41st Ave,Japanese,,4.0,50
