name,address,cuisine,lat,lng,region
Zamzam Grill,2128 Kingsway,Middle Eastern,49.2441049,-123.0633754,Kensington-Cedar Cottage
Golden Joy Restaurant,4288 Fraser St,Filipino,49.2468257,-123.0899546,Kensington-Cedar Cottage
LE BL CAFÉ,5088 Victoria Dr,Vietnamese,49.2382751,-123.0652076,Kensington-Cedar Cottage
My Chau Restaurant,1715 Kingsway,Vietnamese,49.2472777,-123.0693067,Kensington-Cedar Cottage
Do Chay,1392 Kingsway,Vietnamese,49.2500602,-123.0764991,Kensington-Cedar Cottage
Bandidas Taqueria,2781 Commercial Dr,Vegetarian,49.259773,-123.0700275,Kensington-Cedar Cottage
Thanh Thanh,775 Kingsway,Vietnamese,49.2560047,-123.0878382,Kensington-Cedar Cottage
Chau Veggie Express,5052 Victoria Dr,Vietnamese,49.2385526,-123.0651974,Kensington-Cedar Cottage
Gojo Cafe - Ethiopian,2838 Commercial Dr,Ethiopian,49.2591178,-123.0695691,Kensington-Cedar Cottage
Veggie Bowl,2222 Kingsway,Vegetarian,49.2428328,-123.0605746,Kensington-Cedar Cottage
Pink Peppercorn Seafood House,1485 Kingsway,Seafood,49.2493907,-123.0736372,Kensington-Cedar Cottage
Ashiana Tandoori,1440 Kingsway,Indian,49.2492719,-123.0745971,Kensington-Cedar Cottage
House Of Dosas,1391 Kingsway,Indian,49.250466,-123.0763303,Kensington-Cedar Cottage
Falafel Café,1385 Kingsway,Falafel,49.25053699999999,-123.076518,Kensington-Cedar Cottage
Western Lake Chinese Seafood Restaurant,4989 Victoria Dr,Chinese,49.239343,-123.0655693,Kensington-Cedar Cottage
Amay’s House,5076 Victoria Dr,Burmese,49.23833800000001,-123.0650596,Kensington-Cedar Cottage
Bonjour Vietnam Bistro,3944 Fraser St,Vietnamese,49.24965599999999,-123.0899331,Kensington-Cedar Cottage
Kilimanjaro Snack House & Catering,789 Kingsway,East African,49.2558079,-123.0875334,Kensington-Cedar Cottage
Kalvin's Restaurant,5225 Victoria Dr,Taiwanese,49.2372789,-123.0656188,Kensington-Cedar Cottage
Nammos Estiatorio,3980 Fraser St,Greek,49.2494546,-123.0898053,Kensington-Cedar Cottage
BT Cafe Ltd,920 Kingsway,Cantonese,49.2542716,-123.0851632,Kensington-Cedar Cottage
Hapag Ihaw-Ihaw Restaurant,5432 Victoria Dr,Filipino,49.2355374,-123.0652908,Kensington-Cedar Cottage
Shima-Ya Sushi,5589 Victoria Dr,Japanese,49.2337864,-123.0657079,Kensington-Cedar Cottage
White Spot Kingsway,1476 Kingsway,Family-friendly,49.2489856,-123.0742081,Kensington-Cedar Cottage
Viet Mama Cafe,5118 Victoria Dr,Vietnamese,49.23796,-123.0652168,Kensington-Cedar Cottage
Bun Cha Ca Hoang Yen,5083 Victoria Dr,Vietnamese,49.2385267,-123.0655737,Kensington-Cedar Cottage
Commercial Sushi,2575 Commercial Dr,Japanese,49.2616204,-123.0700627,Kensington-Cedar Cottage
El Caracol Cafe,5190 Victoria Dr,Salvadoran,49.2375504,-123.065129,Kensington-Cedar Cottage
Hai Phong Restaurant,1242 Kingsway,Vietnamese,49.2511628,-123.0790452,Kensington-Cedar Cottage
Shiok Singaporean Cuisine,1716 Kingsway,Singaporean,49.2469252,-123.0695155,Kensington-Cedar Cottage
Green Lemongrass,1086 Kingsway,Vietnamese,49.2529471,-123.0822846,Kensington-Cedar Cottage
Adelitas Restaurant,5178 Victoria Dr,Mexican,49.2377146,-123.0651428,Kensington-Cedar Cottage
Naruto Sushi,2763 Commercial Dr,Japanese,49.2599555,-123.0700561,Kensington-Cedar Cottage
Broadway Station Sushi,1638 E Broadway #101,Japanese,49.2621869,-123.0708126,Kensington-Cedar Cottage
Sushi By Yuji,2252 Kingsway,Japanese,49.2424827,-123.0598354,Kensington-Cedar Cottage
ChongQing On Commercial,2808 Commercial Dr,Chinese,49.2593024,-123.0695171,Kensington-Cedar Cottage
