name,address,cuisine,lat,lng,region
Hikari Cafe,5701 Granville St,Japanese,49.2340907,-123.14012,Kerrisdale
Café FortyOne,5750 Oak St,Kosher,49.2334656,-123.1276148,Oakridge
Sushi Bar Ajisai,2081 W 42nd Ave,Japanese,49.233934,-123.1536816,Kerrisdale
Breakfast Table,3014 Granville St,Breakfast,49.258568,-123.1385172,Fairview
Minerva Restaurant,2411 W 41st Ave,Greek,49.23486579999999,-123.1615716,Arbutus-Ridge
Kerrisdale Nakamura Japanese Cuisine,2055 W 41st Ave,Japanese,49.2347027,-123.1535489,Shaughnessy
Bufala Kerrisdale,5395 West Blvd,Pizza,49.2374814,-123.1556462,Arbutus-Ridge
Joon's Kitchen,3093 Oak St,Korean,49.2580519,-123.1271478,Fairview
Bin 4 Burger Lounge,2996 Granville St,Hamburger,49.2590704,-123.1384745,Fairview
Corduroy Pie Company,758 W 16th Ave,Pizza,49.2569247,-123.1212866,South Cambie
Burrata Pizzeria,2104 W 41st Ave,Pizza,49.2344827,-123.1559335,Kerrisdale
Jiu Jiang Japanese Restaurant,5707 Balsam St,Japanese,49.2343872,-123.1615111,Kerrisdale
Hachibei,778 W 16th Ave,Japanese,49.256928,-123.1215673,South Cambie
Kyuzo Japanese Restaurant,5701 Granville St #112,Japanese,49.2338988,-123.1400315,Kerrisdale
Southern Delicacy,6055 West Blvd,Chinese,49.23135,-123.1559366,Kerrisdale
Sofra Mediterranean Kitchen,2277 W 41st Ave,Lebanese,49.2348041,-123.1591358,Arbutus-Ridge
ASA Sushi,2178 W 41st Ave,Japanese,49.234509,-123.1580221,Kerrisdale
Golden Ocean Seafood Restaurant,2046 W 41st Ave,Chinese,49.2343419,-123.1533765,Kerrisdale
Fiore - South Granville,1485 W 12th Ave,Italian,49.2608974,-123.1382242,Fairview
The Stable House Bistro,1520 W 13th Ave,Bistro,49.259699,-123.139316,Fairview
Pho Tan Vietnamese Restaurant Beef Noodle Soup & Bubble Tea,2076 W 41st Ave,Vietnamese,49.2344534,-123.1544022,Kerrisdale
George's Pizza,6109 West Blvd,Pizza,49.2306249,-123.1558819,Kerrisdale
Barra 41,2407 W 41st Ave,Cocktail bar,49.23475939999999,-123.1615035,Arbutus-Ridge
Heirloom Vegetarian Restaurant,1509 W 12th Ave,Vegetarian,49.2609126,-123.1391689,Fairview
Khao Thai by Legato Cafe,2248 W 41st Ave,Thai,49.2344901,-123.1592032,Kerrisdale
Osaka Sushi,960 W King Edward Ave,Japanese,49.2485394,-123.1255618,South Cambie
Baoguette Vietnamese Bistro,2114 W 41st Ave,Vietnamese,49.234477,-123.1561885,Kerrisdale
Sabra Kosher Bakery & Restaurant Ltd,3844 Oak St,Kosher,49.2513234,-123.1272918,South Cambie
Sorella,3369 Cambie St,Italian,49.2553882,-123.1154401,South Cambie
Salmon n' Bannock,1128 W Broadway #7,Pacific Northwest,49.263303,-123.1297697,Fairview
Nando's Kerrisdale,2064 W 41st Ave,Chicken,49.2342436,-123.1540599,Kerrisdale
Shiro Japanese,3096 Cambie St,Japanese,49.2579297,-123.1146171,Mount Pleasant
White Spot Kerrisdale,5367 West Blvd,Family-friendly,49.23766850000001,-123.1556307,Arbutus-Ridge
Suika Japanese Restaurant,1626 W Broadway,Izakaya,49.2634105,-123.1416899,Fairview
De Dutch Pannekoek House,3192 Oak St,Breakfast,49.25726419999999,-123.1270022,Fairview
