name,rating,review_count,lat,lng,region
Dairy Queen,3.7,517.0,49.2359167,-123.0447306,Renfrew-Collingwood
Dairy Queen Grill & Chill,3.5,86.0,49.28120910000001,-123.0466884,Hastings-Sunrise
Dairy Queen Grill & Chill,3.7,317.0,49.23907500000001,-123.0650184,Kensington-Cedar Cottage
Dairy Queen Grill & Chill,3.5,86.0,49.28120910000001,-123.0466884,Hastings-Sunrise
Dairy Queen Grill & Chill,3.8,351.0,49.2308508,-123.0909761,Sunset
Dairy Queen Grill & Chill,4.1,257.0,49.2594249,-123.1007522,Mount Pleasant
Dairy Queen Dairy Queen / Orange Julius,4.0,1.0,49.2833319,-123.1183909,Downtown
Dairy Queen (Treat),3.9,88.0,49.279616,-123.117389,Downtown
Dairy Queen (Treat),3.4,67.0,49.2833319,-123.1183909,Downtown
Dairy Queen (Treat),4.3,55.0,49.2740366,-123.1223558,Downtown
Dairy Queen,3.8,349.0,49.2642205,-123.1648956,Kitsilano
Dairy Queen (Treat),3.8,107.0,49.2348441,-123.1594056,Arbutus-Ridge
Dairy Queen (Treat),4.4,90.0,49.2567421,-123.1849081,Dunbar-Southlands
