name,rating,review_count,lat,lng,region
Freshslice Pizza,4.1,348.0,49.2378945,-123.0319888,Renfrew-Collingwood
Freshslice Pizza,4.1,246.0,49.258601,-123.04477,Renfrew-Collingwood
Freshslice Pizza,4.3,142.0,49.2812847,-123.0538249,Hastings-Sunrise
Freshslice Pizza,4.3,289.0,49.2311839,-123.0657887,Victoria-Fraserview
Freshslice Pizza,3.9,176.0,49.2615741,-123.0695128,Kensington-Cedar Cottage
Freshslice Pizza,4.0,213.0,49.2838187,-123.1131301,Downtown
Freshslice Pizza,4.0,246.0,49.2630214,-123.1012976,Mount Pleasant
Freshslice Pizza,4.2,272.0,49.27921389999999,-123.1078386,Downtown
Freshslice Pizza,4.1,254.0,49.2099567,-123.1168429,Marpole
Freshslice Pizza,4.0,269.0,49.2816213,-123.120527,Downtown
Freshslice Pizza,4.3,122.0,49.2740454,-123.1221792,Downtown
Freshslice Pizza,4.1,194.0,49.2776383,-123.1266787,Downtown
Freshslice Pizza,4.2,195.0,49.2642232,-123.1382236,Fairview
Freshslice Pizza,4.4,298.0,49.2082081,-123.1401279,Marpole
Freshslice Pizza,4.5,174.0,49.2681947,-123.1859178,West Point Grey
